id,examYear,examRound,questionNumber,category,questionText,choice1,choice2,choice3,choice4,choice5,correctChoice,explanation,source,keywords,needsLegalReview
2024-36-001,2024,36,1,人間の尊厳と自立,"Ａさん（76歳、女性、要支援1）は、一人暮らしである。週1回介護予防通所リハビリテーションを利用しながら、近所の友人たちとの麻雀｛まーじゃん｝を楽しみに生活している。最近、膝に痛みを感じ、変形性膝関節症（knee osteoarthritis）と診断された。同時期に友人が入院し、楽しみにしていた麻雀｛まーじゃん｝ができなくなった。Ａさんは徐々に今後の生活に不安を感じるようになった。ある日、「自宅で暮らし続けたいけど、心配なの…」と介護福祉職に話した。
Ａさんに対する介護福祉職の対応として、最も適切なものを1つ選びなさい。",要介護認定の申請を勧める。,友人のお見舞いを勧める。,膝の精密検査を勧める。,別の趣味活動の希望を聞く。,生活に対する思いを聞く。,5,正解は選択肢5「生活に対する思いを聞く。」である。本人の言葉を遮らずに確認することで、表面の訴えだけでなく背景にあるニーズを把握できる。本人の価値観と意思決定を起点に、残存能力を生かす支援を考える。,公益財団法人 社会福祉振興・試験センター 第36回（令和5年度）介護福祉士国家試験; 問題: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/listen_k_am_36.html; 正答: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/k_kijun_seitou.pdf,,true
2024-36-002,2024,36,2,人間の尊厳と自立,次の記述のうち、介護を必要とする人の自立についての考え方として、最も適切なものを1つ選びなさい。,自立は、他者の支援を受けないことである。,精神的自立は、生活の目標をもち、自らが主体となって物事を進めていくことである。,社会的自立は、社会的な役割から離れて自由になることである。,身体的自立は、介護者の身体的負担を軽減することである。,経済的自立は、経済活動や社会活動に参加せずに、生活を営むことである。,2,正解は選択肢2「精神的自立は、生活の目標をもち、自らが主体となって物事を進めていくことである。」である。精神的自立は、自ら目標をもち、主体的に判断して生活を組み立てる状態を指す。本人の価値観と意思決定を起点に、残存能力を生かす支援を考える。,公益財団法人 社会福祉振興・試験センター 第36回（令和5年度）介護福祉士国家試験; 問題: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/listen_k_am_36.html; 正答: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/k_kijun_seitou.pdf,,true
2024-36-003,2024,36,3,人間関係とコミュニケーション,"Ｕ介護老人福祉施設では、利用者の介護計画を担当の介護福祉職が作成している。このため、利用者の個別の介護目標を、介護福祉職のチーム全員で共有することが課題になっている。
この課題を解決するための取り組みとして、最も適切なものを1つ選びなさい。",管理職がチーム全体に注意喚起して、集団規範を形成する。,現場経験の長い介護福祉職の意見を優先して、同調行動を促す。,チームメンバーの懇談会を実施して、内集団バイアスを強化する。,チームメンバー間の集団圧力を利用して、多数派の意見に統一する。,担当以外のチームメンバーもカンファレンス（conference）に参加して、集団凝集性を高める。,5,正解は選択肢5「担当以外のチームメンバーもカンファレンス（conference）に参加して、集団凝集性を高める。」である。カンファレンスに関係職種・担当者が参加すると、目標、観察事項、支援方法を共通理解にできる。集団凝集性は、メンバーが共通目標に向かってまとまろうとする力を指す。相手の理解力や感情に合わせ、言語・準言語・非言語の手段を使い分けることが基本である。,公益財団法人 社会福祉振興・試験センター 第36回（令和5年度）介護福祉士国家試験; 問題: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/listen_k_am_36.html; 正答: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/k_kijun_seitou.pdf,,true
2024-36-004,2024,36,4,人間関係とコミュニケーション,"Ｂさん（90歳、女性、要介護3）は、介護老人福祉施設に入所している。入浴日に、担当の介護福祉職が居室を訪問し、「Ｂさん、今日はお風呂の日です。時間は午後3時からです」と伝えた。しかし、Ｂさんは言っていることがわからなかったようで、「はい、何ですか」と困った様子で言った。
このときの、介護福祉職の準言語を活用した対応として、最も適切なものを1つ選びなさい。",強い口調で伝えた。,抑揚をつけずに伝えた。,大きな声でゆっくり伝えた。,急かすように伝えた。,早口で伝えた。,3,正解は選択肢3「大きな声でゆっくり伝えた。」である。準言語は声量、速さ、抑揚、間など言葉以外の声の要素であり、聞き取りに応じて調整する。相手の理解力や感情に合わせ、言語・準言語・非言語の手段を使い分けることが基本である。,公益財団法人 社会福祉振興・試験センター 第36回（令和5年度）介護福祉士国家試験; 問題: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/listen_k_am_36.html; 正答: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/k_kijun_seitou.pdf,,true
2024-36-005,2024,36,5,人間関係とコミュニケーション,"Ｖ介護老人福祉施設では、感染症が流行したために、緊急的な介護体制で事業を継続することになった。さらに労務管理を担当する職員からは、介護福祉職の精神的健康を守ることを目的とした組織的なマネジメントに取り組む必要性について提案があった。
次の記述のうち、このマネジメントに該当するものとして、最も適切なものを1つ選びなさい。",感染防止対策を強化する。,多職種チームでの連携を強化する。,利用者のストレスをコントロールする。,介護福祉職の燃え尽き症候群（バーンアウト（burnout））を防止する。,利用者家族の面会方法を見直す。,4,正解は選択肢4「介護福祉職の燃え尽き症候群（バーンアウト（burnout））を防止する。」である。バーンアウトの予防には、過重負担の把握、相談体制、休息、職場内の支援など組織的な対策が必要である。相手の理解力や感情に合わせ、言語・準言語・非言語の手段を使い分けることが基本である。,公益財団法人 社会福祉振興・試験センター 第36回（令和5年度）介護福祉士国家試験; 問題: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/listen_k_am_36.html; 正答: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/k_kijun_seitou.pdf,,true
2024-36-006,2024,36,6,人間関係とコミュニケーション,次のうち、介護老人福祉施設における全体の指揮命令系統を把握するために必要なものとして、最も適切なものを1つ選びなさい。,組織図,勤務表,経営理念,施設の歴史,資格保有者数,1,正解は選択肢1「組織図」である。組織図は、部署間の関係や指揮命令系統、責任の所在を把握する資料である。相手の理解力や感情に合わせ、言語・準言語・非言語の手段を使い分けることが基本である。,公益財団法人 社会福祉振興・試験センター 第36回（令和5年度）介護福祉士国家試験; 問題: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/listen_k_am_36.html; 正答: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/k_kijun_seitou.pdf,,true
2024-36-007,2024,36,7,社会の理解,次のうち、セルフヘルプグループ（self-help group）の活動に該当するものとして、最も適切なものを1つ選びなさい。,断酒会,施設の社会貢献活動,子ども食堂の運営,傾聴ボランティア,地域の町内会,1,正解は選択肢1「断酒会」である。セルフヘルプグループは、同じ課題をもつ当事者が相互に支え合う集まりで、断酒会が代表例である。制度問題は、対象者、実施主体、給付・サービスの内容、相談窓口を組み合わせて整理する。,公益財団法人 社会福祉振興・試験センター 第36回（令和5年度）介護福祉士国家試験; 問題: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/listen_k_am_36.html; 正答: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/k_kijun_seitou.pdf,,true
2024-36-008,2024,36,8,社会の理解,特定非営利活動法人（ＮＰＯ法人）に関する次の記述のうち、最も適切なものを1つ選びなさい。,社会福祉法に基づいて設置される。,市町村が認証する。,保健、医療又は福祉の増進を図る活動が最も多い。,収益活動は禁じられている。,宗教活動を主たる目的とする団体もある。,3,正解は選択肢3「保健、医療又は福祉の増進を図る活動が最も多い。」である。この選択肢は、制度・機関の対象者と役割の組合せが正しい。類似する制度は、実施主体、対象、給付内容、相談窓口で区別する。制度問題は、対象者、実施主体、給付・サービスの内容、相談窓口を組み合わせて整理する。,公益財団法人 社会福祉振興・試験センター 第36回（令和5年度）介護福祉士国家試験; 問題: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/listen_k_am_36.html; 正答: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/k_kijun_seitou.pdf,,true
2024-36-009,2024,36,9,社会の理解,地域福祉において、19世紀後半に始まった、貧困地域に住み込んで実態調査を行いながら住民への教育や生活上の援助を行ったものとして、最も適切なものを1つ選びなさい。,世界保健機関（ＷＨＯ）,福祉事務所,地域包括支援センター,生活協同組合,セツルメント,5,正解は選択肢5「セツルメント」である。セツルメントは、支援者が貧困地域に住み込み、調査・教育・生活援助を通じて住民と地域改善に取り組む活動である。制度問題は、対象者、実施主体、給付・サービスの内容、相談窓口を組み合わせて整理する。,公益財団法人 社会福祉振興・試験センター 第36回（令和5年度）介護福祉士国家試験; 問題: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/listen_k_am_36.html; 正答: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/k_kijun_seitou.pdf,,true
2024-36-010,2024,36,10,社会の理解,社会福祉基礎構造改革に関する次の記述のうち、適切なものを1つ選びなさい。,社会福祉法が社会福祉事業法に改正された。,利用契約制度から措置制度に変更された。,サービス提供事業者は、社会福祉法人に限定された。,障害福祉分野での制度改正は見送られた。,判断能力が不十分な者に対する地域福祉権利擁護事業が創設された。,5,正解は選択肢5「判断能力が不十分な者に対する地域福祉権利擁護事業が創設された。」である。この選択肢は、制度・機関の対象者と役割の組合せが正しい。類似する制度は、実施主体、対象、給付内容、相談窓口で区別する。制度問題は、対象者、実施主体、給付・サービスの内容、相談窓口を組み合わせて整理する。,公益財団法人 社会福祉振興・試験センター 第36回（令和5年度）介護福祉士国家試験; 問題: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/listen_k_am_36.html; 正答: https://www.sssc.or.jp/kaigo/past_exam/pdf/no36/k_kijun_seitou.pdf,,true
