index,id,examYear,examRound,questionNumber,category,questionText,choice1,choice2,choice3,choice4,choice5,correctChoice,explanation,source,keywords,needsLegalReview
0,2022-34-001,2022,34,1,人間の尊厳と自立,著書『ケアの本質－生きることの意味』の中で，「一人の人格をケアするとは， 最も深い意味で，その人が 成長 すること，自己実現することをたすけることである」と述べた人物として，正しいものを 1 つ選びなさい。,神谷美恵子,糸賀一雄,"フローレンス・ナイチンゲール（Nightingale, F.）","ミルトン・メイヤロフ（Mayeroff, M.）","ベンクト・ニィリエ（Nirje, B.）",4,正解は4です。ミルトン・メイヤロフは『ケアの本質』で、ケアを相手の成長や自己実現を助ける営みとして論じました。,公益財団法人 社会福祉振興・試験センター 第34回（令和3年度）介護福祉士国家試験; 問題: ユーザー提供PDF; 正答: https://www.mhlw.go.jp/content/12004000/000917101.pdf,,False
1,2022-34-002,2022,34,2,人間の尊厳と自立,Ａさん（80 歳，女性，要介護 1）は， 筋力や理解力の低下がみられ，訪問介護（ホームヘルプサービス）を利用している。訪問介護員（ホームヘルパー）がいない時間帯は，同居している長男（53 歳，無職）に頼って生活をしている。 長男 はＡさんの年金で生計を立てていて，ほとんど 外出 しないで家にいる。ある時，Ａさんは訪問介護員（ホームヘルパー）に，「 長男は暴力 がひどくてね。この 間も殴られて，とても怖かった。 長男 には言わないでね。あとで何かわからないから」と話した。訪問介護員（ホームヘルパー）は，Ａさんのからだに複数のあざがあることを確認した。訪問介護員（ホームヘルパー）の対応に関する次の記述のうち， 最も適切なものを 1 つ選びなさい。,長男の虐待を疑い，上司に報告し，市町村に通報する。,長男 の仕事が見つかるようにハローワークを 紹介 する。,Ａさんの気持ちを大切にして何もしない。,すぐに 長男 を別室に呼び，事実を確認する。,長男の暴力 に気づいたかを近所の人に確認する。,1,正解は1です。高齢者虐待が疑われる場合、介護職は一人で抱え込まず上司へ報告し、市町村への通報につなげます。本人が口止めを求めていても、安全確保が優先されます。 ※制度・基準・統計は改正や更新があり得るため、受験時点の最新情報も確認してください。,公益財団法人 社会福祉振興・試験センター 第34回（令和3年度）介護福祉士国家試験; 問題: ユーザー提供PDF; 正答: https://www.mhlw.go.jp/content/12004000/000917101.pdf,,True
2,2022-34-003,2022,34,3,人間関係とコミュニケーション,介護福祉職はＢさんから，「認知症（dementia）の母の介護がなぜかうまくいかない。深夜に徘徊するので，心身共に疲れてきた」と相談された。介護福祉職は，「落ち込んでいてはダメですよ。元気を出して頑張ってください」とＢさんに言った。後日，介護福祉職はＢさんに対する自身の発言を振り返り，不適切だったと反省した。介護福祉職はＢさんに対してどのような返答をすればよかったのか， 最も適切なものを 1 つ選びなさい。,「お母さんに施設へ 入所 してもらうことを検討してはどうですか」,「 私も疲れているので，よくわかります」,「認知症（dementia）の方を介護しているご家族は，皆さん疲れていますよ」,「近所の人に助けてもらえるように， 私から言っておきます」,「お母さんのために頑張ってきたんですね」,5,正解は5です。まず家族のつらさやこれまでの努力を受け止める共感的な応答が大切です。すぐに解決策を提示するより、相手の気持ちを理解していることを伝えます。,公益財団法人 社会福祉振興・試験センター 第34回（令和3年度）介護福祉士国家試験; 問題: ユーザー提供PDF; 正答: https://www.mhlw.go.jp/content/12004000/000917101.pdf,,False
3,2022-34-004,2022,34,4,人間関係とコミュニケーション,利用者とのコミュニケーション場面で，介護福祉職が 行う自己開示の目的として， 最も適切なものを 1 つ選びなさい。,ジョハリの窓（Johari Window）の「開放された部分（open area）」を狭に 行う。,利用者との信頼関係を形成するために 行う。,利用者が自分自身の 情報 を開示するために 行う。,利用者との信頼関係を評価するために 行う。,自己を深く分析し，客観的に理解するために 行う。,2,正解は2です。適切な自己開示は、介護職自身の情報を必要な範囲で伝えることで利用者との信頼関係形成に役立ちます。,公益財団法人 社会福祉振興・試験センター 第34回（令和3年度）介護福祉士国家試験; 問題: ユーザー提供PDF; 正答: https://www.mhlw.go.jp/content/12004000/000917101.pdf,,False
4,2022-34-005,2022,34,5,社会の理解,2016 年（平成 28 年）に閣議決定された，「ニッポン一億総活躍プラン」にある「地域共生社会の実現」に関する記述として， 最も適切なものを 1 つ選びなさい。,日本型福祉社会の創造,我が事・丸ごとの地域づくり,健康で文化的な最低限度の生活の保障,社会保障と税の一体改革,皆保険・皆年金体制の実現,2,正解は2です。「地域共生社会」の実現では、住民一人ひとりが地域課題を『我が事』として捉え、分野を越えて『丸ごと』支える地域づくりが示されました。,公益財団法人 社会福祉振興・試験センター 第34回（令和3年度）介護福祉士国家試験; 問題: ユーザー提供PDF; 正答: https://www.mhlw.go.jp/content/12004000/000917101.pdf,,False
5,2022-34-006,2022,34,6,社会の理解,2019 年（平成 31 年，令和元年）の日本の世帯に関する次の記述のうち，正しいものを 1 つ選びなさい。,平均世帯人員は， 3 人を超えている。,世帯数で 最も多いのは， 2人世帯である。,単独世帯で 最も多いのは，高齢者の単独世帯である。,母子世帯数と父子世帯数を合算すると，高齢者世帯数を超える。,全国の世帯総数は， 7 千万を超えている。,2,正解は2です。2019年の国民生活基礎調査では、世帯人員別では2人世帯が最も多いという結果でした。統計問題は調査年を確認して覚えることが重要です。,公益財団法人 社会福祉振興・試験センター 第34回（令和3年度）介護福祉士国家試験; 問題: ユーザー提供PDF; 正答: https://www.mhlw.go.jp/content/12004000/000917101.pdf,,False
6,2022-34-007,2022,34,7,社会の理解,2015 年（平成 27 年）以降の日本の社会福祉を取り巻く 環境 に関する次記述のうち，適切なものを 1 つ選びなさい。,人口は，増加傾向にある。,共働 き世帯数は，減少傾向にある。,非正規雇用労働者数は，減少傾向にある。,高齢世代を支える現役世代（生産年齢人口）は，減少傾向にある。,日本の国民負担率は，ＯＥＣＤ加盟国の中では上位にある。（注） ＯＥＣＤとは，経済協力開発機構（Organisation for Economic Co-operationand Development）のことで，2020 年（令和2年）現在 38 か国が加盟している。,4,正解は4です。少子高齢化の進行により、生産年齢人口は減少傾向にあります。高齢世代を支える現役世代の減少は社会保障上の重要課題です。,公益財団法人 社会福祉振興・試験センター 第34回（令和3年度）介護福祉士国家試験; 問題: ユーザー提供PDF; 正答: https://www.mhlw.go.jp/content/12004000/000917101.pdf,,False
7,2022-34-008,2022,34,8,社会の理解,次のうち，2020 年（令和2年）の社会福祉法等の改正に関する記述として，最も適切なものを 1 つ選びなさい。,市町村による地域福祉計画の策定,入所施設の重点的な拡充,医療・介護のデータ基盤の整備の推進,市町村直営の介護サービス事業の整備拡充,ロボット等の機械の活用から人によるケアへの転換（注） 2020 年（令和2年）の社会福祉法等の改正とは，「地域共生社会の実現のための社会福祉法等の一部を改正する法律（令和2年法律第 52 号）」をいう。,3,正解は3です。2020年の社会福祉法等改正では、地域共生社会の実現に向けた包括的支援体制とともに、医療・介護分野のデータ基盤整備などが進められました。 ※制度・基準・統計は改正や更新があり得るため、受験時点の最新情報も確認してください。,公益財団法人 社会福祉振興・試験センター 第34回（令和3年度）介護福祉士国家試験; 問題: ユーザー提供PDF; 正答: https://www.mhlw.go.jp/content/12004000/000917101.pdf,,True
8,2022-34-009,2022,34,9,社会の理解,Ｃさん（78 歳，男性，要支援 1）は，公的年金（月額 19 万円）で公営住宅の,認知症対応型共同生活介護（認知症高齢者グループホーム）,介護付有料老人ホーム,階で一人暮らしをしている。妻と死別後も通所型サービスを利用し，自炊を楽みながら生活している。最近，膝の具合がよくないこともあり，階段の上り下負担になってきた。そこで，転居について，通所型サービスのＤ介護福祉士に相談をした。次のうち，Ｄ介護福祉士がＣさんに 紹介 する住まいの場として， 最も適切なものを 1 つ選びなさい。軽費老人ホームＡ型,サービス付き高齢者向け 住宅,養護老人ホーム,4,正解は4です。サービス付き高齢者向け住宅は、比較的自立度が高い高齢者も入居しやすく、バリアフリーや安否確認・生活相談などを備える住まいです。 ※制度・基準・統計は改正や更新があり得るため、受験時点の最新情報も確認してください。,公益財団法人 社会福祉振興・試験センター 第34回（令和3年度）介護福祉士国家試験; 問題: ユーザー提供PDF; 正答: https://www.mhlw.go.jp/content/12004000/000917101.pdf,,True
9,2022-34-010,2022,34,10,社会の理解,介護保険制度の保険給付の財源構成として，適切なものを 1 つ選びなさい。,保険料,公費,公費，保険料，現役世代からの支援金,公費，第一号保険料,公費，第一号保険料，第二号保険料,5,正解は5です。介護保険の保険給付は、公費と第1号被保険者・第2号被保険者の保険料で賄われます。 ※制度・基準・統計は改正や更新があり得るため、受験時点の最新情報も確認してください。,公益財団法人 社会福祉振興・試験センター 第34回（令和3年度）介護福祉士国家試験; 問題: ユーザー提供PDF; 正答: https://www.mhlw.go.jp/content/12004000/000917101.pdf,,True
